UIN,Complete15under,Q1_rate_1,Q1_rate_2,Q1_rate_3,Q1_rate_4,Q1_rate_5,Q1_rate_6,Q1_rate_7,Q2_rate_1,Q2_rate_2,Q2_rate_3,Q2_rate_4,Q2_rate_5,Q2_rate_6,Q2_rate_7,Q3_rate_1,Q3_rate_2,Q3_rate_3,Q3_rate_4,Q3_rate_5,Q3_rate_6,Q3_rate_7,Q4_rate_1,Q4_rate_2,Q4_rate_3,Q4_rate_4,Q4_rate_5,Q4_rate_6,Q4_rate_7,Q5_rate_1,Q5_rate_2,Q5_rate_3,Q5_rate_4,Q5_rate_5,Q5_rate_6,Q5_rate_7,Q6_rate_1,Q6_rate_2,Q6_rate_3,Q6_rate_4,Q6_rate_5,Q6_rate_6,Q6_rate_7,Q7_rate_1,Q7_rate_2,Q7_rate_3,Q7_rate_4,Q7_rate_5,Q7_rate_6,Q7_rate_7,Q8_rate_1,Q8_rate_2,Q8_rate_3,Q8_rate_4,Q8_rate_5,Q8_rate_6,Q8_rate_7,HighTrustNetwork,HighEmoCloseNetwork,LowTrustNetwork,LowEmoCloseNetwork
53,1,100,100,100,100,77,80,100,100,100,100,67,59,75,100,100,100,100,75,67,68,80,92,82,100,100,79,83,100,78,86,82,100,56,59,100,100,100,100,78,74,79,78,100,100,100,66,72,63,69,72,100,69,82,69,69,100,98,100,87.5,87.75
54,1,100,100,100,100,100,100,100,95,100,100,100,100,95,100,100,100,100,100,100,100,49,100,100,100,100,100,60,100,92,100,100,85,93,61,88,100,100,100,100,100,82,100,81,93,87,66,50,81,93,100,100,100,93,100,93,100,95.25,96.75,96.75,100
55,1,100,100,100,100,100,100,100,100,100,100,72,71,71,100,100,70,100,100,100,71,92,100,100,100,74,75,76,73,100,80,100,100,100,100,100,100,82,100,100,84,84,100,100,74,100,76,76,83,81,100,100,100,71,74,75,100,100,100,100,100
56,1,100,100,100,100,100,100,99,50,50,15,66,50,50,41,100,99,100,19,0,0,100,100,100,100,96,99,100,100,14,8,3,50,5,5,11,83,85,84,83,79,35,89,88,50,50,92,86,88,43,100,100,100,100,100,100,100,92.75,83.5,66,54.5
57,1,100,100,100,100,58,37,100,100,50,30,65,62,65,66,100,88,94,66,64,73,86,100,77,30,83,78,84,83,100,99,100,98,81,50,52,100,87,98,97,71,61,82,100,100,95,55,50,50,77,82,100,81,60,91,97,100,100,80.75,95.5,76.25
58,1,100,100,100,81,69,73,100,82,90,87,84,84,82,86,74,74,81,83,80,79,83,100,94,73,68,78,67,68,74,76,77,79,77,77,83,100,100,100,63,81,65,98,80,79,71,80,82,80,79,81,79,82,81,85,81,80,95,86,77.75,81.75
59,1,95,90,94,90,12,11,85,95,78,86,74,48,44,74,95,82,97,76,5,3,25,100,68,100,67,7,16,53,73,61,69,47,35,36,65,85,87,85,54,15,14,54,100,72,100,65,21,19,58,91,85,83,78,0,23,66,95,94.75,88.5,83.75
60,1,95,93,98,94,87,61,100,94,99,97,93,88,83,100,64,57,50,58,57,56,50,84,50,50,72,72,72,64,93,74,80,81,76,87,74,96,75,92,82,84,76,82,96,97,99,96,70,69,95,93,73,96,72,86,73,73,92.75,84.75,86,80.75
61,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,84,70,71,82,82,71,71,50,50,50,50,50,50,50,50,50,50,50,50,50,50,82,85,72,89,93,78,77,50,50,50,50,50,50,50,50,50,50,50,50,50,50,58,55.5,58.5,55.25
62,1,100,100,100,80,72,71,100,100,100,100,78,77,78,91,100,80,100,69,74,76,78,100,100,100,57,61,61,85,87,86,70,88,89,89,82,100,88,86,87,100,87,100,100,87,83,80,71,70,72,100,85,73,73,76,73,92,100,92.25,96.75,85.75
63,1,27,20,32,14,18,32,23,36,27,33,70,30,13,44,12,14,14,11,13,17,20,15,4,11,16,21,13,11,30,24,28,23,31,24,18,27,26,21,26,24,26,27,7,25,23,22,13,16,29,17,21,20,24,17,16,18,19,21.75,23.75,23.75
